date,hits,search_term
12/22/2013,39,Artificial intelligence
12/29/2013,36,Artificial intelligence
1/5/2014,39,Artificial intelligence
1/12/2014,38,Artificial intelligence
1/19/2014,38,Artificial intelligence
1/26/2014,38,Artificial intelligence
2/2/2014,38,Artificial intelligence
2/9/2014,37,Artificial intelligence
2/16/2014,39,Artificial intelligence
2/23/2014,37,Artificial intelligence
3/2/2014,39,Artificial intelligence
3/9/2014,37,Artificial intelligence
3/16/2014,37,Artificial intelligence
3/23/2014,37,Artificial intelligence
3/30/2014,37,Artificial intelligence
4/6/2014,38,Artificial intelligence
4/13/2014,36,Artificial intelligence
4/20/2014,38,Artificial intelligence
4/27/2014,36,Artificial intelligence
5/4/2014,39,Artificial intelligence
5/11/2014,37,Artificial intelligence
5/18/2014,37,Artificial intelligence
5/25/2014,37,Artificial intelligence
6/1/2014,36,Artificial intelligence
6/8/2014,37,Artificial intelligence
6/15/2014,34,Artificial intelligence
6/22/2014,35,Artificial intelligence
6/29/2014,34,Artificial intelligence
7/6/2014,34,Artificial intelligence
7/13/2014,35,Artificial intelligence
7/20/2014,35,Artificial intelligence
7/27/2014,33,Artificial intelligence
8/3/2014,37,Artificial intelligence
8/10/2014,37,Artificial intelligence
8/17/2014,36,Artificial intelligence
8/24/2014,35,Artificial intelligence
8/31/2014,36,Artificial intelligence
9/7/2014,38,Artificial intelligence
9/14/2014,46,Artificial intelligence
9/21/2014,37,Artificial intelligence
9/28/2014,37,Artificial intelligence
10/5/2014,34,Artificial intelligence
10/12/2014,36,Artificial intelligence
10/19/2014,37,Artificial intelligence
10/26/2014,38,Artificial intelligence
11/2/2014,37,Artificial intelligence
11/9/2014,38,Artificial intelligence
11/16/2014,38,Artificial intelligence
11/23/2014,38,Artificial intelligence
11/30/2014,41,Artificial intelligence
12/7/2014,38,Artificial intelligence
12/14/2014,37,Artificial intelligence
12/21/2014,37,Artificial intelligence
12/28/2014,36,Artificial intelligence
1/4/2015,38,Artificial intelligence
1/11/2015,43,Artificial intelligence
1/18/2015,41,Artificial intelligence
1/25/2015,41,Artificial intelligence
2/1/2015,39,Artificial intelligence
2/8/2015,37,Artificial intelligence
2/15/2015,37,Artificial intelligence
2/22/2015,38,Artificial intelligence
3/1/2015,40,Artificial intelligence
3/8/2015,38,Artificial intelligence
3/15/2015,37,Artificial intelligence
3/22/2015,37,Artificial intelligence
3/29/2015,35,Artificial intelligence
4/5/2015,37,Artificial intelligence
4/12/2015,36,Artificial intelligence
4/19/2015,36,Artificial intelligence
4/26/2015,39,Artificial intelligence
